content_id,content_type,content_text,content_url,question_id,title,desc,created_time,updated_time,voteup_count,comment_count,source_keyword,user_id,user_link,user_nickname,user_avatar,user_url_token,last_modify_ts
1.91E+18,article,,https://zhuanlan.zhihu.com/p/1914819349497227127,,张雪峰推荐的专业，和千万不能选的专业！,[图片] [图片] [图片] [图片],1749308560,1749308560,5,0,张雪峰 专业,38ba9e1503e0f5bcfe2f6f84e50164cc,https://www.zhihu.com/people/46-76-93-12-30,家真美,https://picx.zhimg.com/50/v2-0ed49fdaedad352bfd4edc4ce3584723_l.jpg?source=4e949a73,46-76-93-12-30,1.77E+12
1.91E+18,article,张雪峰把大学专业说清楚了， 一图看清楚选专业，学校和城市。 如何选专业，学校，城市？,https://zhuanlan.zhihu.com/p/1907188439209707332,,张雪峰把大学专业说清楚了，一图看清楚选专业，学校和城市,张雪峰把大学专业说清楚了， 一图看清楚选专业，学校和城市。 如何选专业，学校，城市？,1747490189,1747490190,36,2,张雪峰 专业,28cf75d0b8017599b1a0eeface6b565b,https://www.zhihu.com/people/upupup-98-32,玩转互联网达人,https://pic1.zhimg.com/50/v2-727c33d49d9cb7369990b080307b9da9_l.jpg?source=4e949a73,upupup-98-32,1.77E+12
1.97E+18,answer,张雪峰这事儿，往浅了说是帮人选专业，往深了说是在给整个社会下套。现在全网都在传他那套“学什么能挣钱”的理论，要是所有人都照着他说的选专业，后果绝对比你想象的更可怕。首先就是大学生全都一个样。计算机、金融、电子信息，翻来覆去就这几个专业。别的专业没人去，历史系查无此人，生物实验室老鼠饿的哇哇叫。大学变成职业培训班，学生全成了流水线上的标准化零件。那么四年后问题就来了。咱们中国什么都不多，就人多。这些热门专业的学生一窝蜂毕业，找工作堪比春运抢票。当你看到公司门口排长队“一职难求”的时候，国人骨子里的内卷天赋就开始稳定发挥。导致的后果就是工资被压得越来越低。你原本以为的高薪专业，最后变成三千块一个月还得996。而那些没人学的冷门专业，突然成了香饽饽。到时候考古队招不到人，博物馆找不到讲解员，连找个修文物的老师傅都比找程序员难。其实这些都不是最重要的，更可怕的是，所有人都变得特别会算计。选专业不看喜欢什么，就看能挣多少钱。理想？爱好？那都是不成熟的表现。这种风气传染到社会上，医生不想治病想搞钱，老师不想教书想补课，连科学家都在琢磨怎么把论文变现。这样的社会，你还指望能出什么大师？有人说张雪峰说的都是大实话。没错，他说的是实话，但要是所有人都按这套实话来，最后谁都别想好过。就像所有人都往一个方向跑，路肯定要塌。其实选专业这事儿，不能光看现在什么火。今天的热门可能就是明天的冷门。二十年前最火的是国际贸易，十年前是土木工程，现在呢？谁说得准四年后什么情况。把人生都押在现在的热门上，跟赌博没什么两样。再说了，社会需要各种各样的人。不能所有人都去当程序员，总得有人当老师、医生、考古学家。要是所有人都挤在几个行业里，其他行业没人干，社会根本转不动。到时候你有钱也请不到医生，买得到房却找不到人装修。张雪峰的出现，其实是这个焦虑时代的产物。但我们要清醒点，不能被他带偏了。选专业要考虑就业，但不能只看就业。喜欢什么、擅长什么、这个行业长远发展怎么样，这些都比眼下能不能多挣两千块重要。别让张雪峰替你做决定。他说的可以听，但别全信。毕竟是你自己的人生，不是他的生意。要是所有人都按他的套路来，最后吃亏的是我们每个人。这个社会需要多样性，需要不同的人才，需要那么一些“不切实际”的理想主义者。要是所有人都变得那么“聪明”、那么“现实”，那这个世界就太无趣了。,https://www.zhihu.com/question/8962065452/answer/1966252156089796215,8962065452,如果所有人都像张雪峰那样选专业，会对社会造成什么影响？,张雪峰这事儿，往浅了说是帮人选专业，往深了说是在给整个社会下套。 现在全网都在传他那套“学什么能挣钱”的理论,1761571045,1761571045,28,93,张雪峰 专业,fa8599d0d41ae069a338fa64f11f6d1b,https://www.zhihu.com/people/qian-yu-60-85,千屿,https://pic1.zhimg.com/50/v2-abed1a8c04700ba7d72b45195223e0ff_l.jpg?source=4e949a73,qian-yu-60-85,1.77E+12
1.93E+18,answer,几年以前了，金融圈暴出过一个小波浪。一圈大佬在吃饭喝酒，一个大佬指着一个美女说，来给大家跳个舞。那个美女立即站起来跳舞，一边跳一边刻意的扭屁股，笑的非常谄媚。看那个架势，让侍寝是让她受宠若惊的。大佬的信息没人知道。美女的个人信息全被扒出来了，小镇做题家，长的漂亮，成绩优异，北京的985毕业。怎么样？你们心中的女神吧。没办法。金融这个圈子太挣钱了，而挣钱的机会又很少，都被行业内的大佬把持着。人家打个电话，给个项目，或许你这辈子都可以小康过活了。家里没人还是算了吧,https://www.zhihu.com/question/658891134/answer/1931859696119157294,658891134,金融专业真的像张雪峰老师说的那样普通家庭不能选吗？,几年以前了，金融圈暴出过一个小波浪。 一圈大佬在吃饭喝酒，一个大佬指着一个美女说，来给大家跳个舞。那个美女立即站起来跳舞,1753371243,1753371243,964,94,张雪峰 专业,2dafb3ece49ebbdf2c999e858880e545,https://www.zhihu.com/people/hyi-tang-qi-xiang,h汉唐气象,https://picx.zhimg.com/50/7b2a11f3486cd874f52c7cb37c537576_l.jpg?source=4e949a73,hyi-tang-qi-xiang,1.77E+12
1.98E+18,answer,已知北京大学数学是中国top1下面是2025年北京大学数学本科生就业：（光就业，不含深造）自己评价。,https://www.zhihu.com/question/613520785/answer/1981511433582830700,613520785,张雪峰说数学专业好，是真的吗？,已知北京大学数学是中国top1 下面是2025年北京大学数学本科生就业：（光就业，不含深造） 自己评价,1765209140,1765209140,3,0,张雪峰 专业,61c7c10cd3a8348df2f5d0c5f6b0410a,https://www.zhihu.com/people/11yi-79,momo,https://picx.zhimg.com/50/v2-9766095c6712a3e8e6b20d4f4804ff3f_l.jpg?source=4e949a73,11yi-79,1.77E+12
17783045423,article,"我听了张雪峰的十条铁律，觉得他说的挺有道理的:1、如果你不想将来靠别人养活，就去学医，当兵，当老师，考个公务员，混进体制里面。2、如果你家里有钱有势,就去学金融和管理，这样你可以更好地管理你的财富和人脉。3、如果你想毕业后拿高薪，就去学电子通讯*，计算机，这些专业现在很火很赚钱。4、如果你想赶上人工智能，大数据的浪潮，就要找个好老师，跟着他学习最新的技术和理论。5、如果你觉得自己成绩不怎么样，就去学电气工程吧，这个专业比较容易毕业。6、如果你打算读研究生，生化回收材料也是个不错的选择，这些专业比较有前景，也比较有意思。7、农林矿*是很辛苦的专业，你要想好了再报考，不然你会后悔的。8、艺术是很美好的事情，但是也很花钱花时间，普通家庭可能承受不起这样的代价。9、医学和法律是很有前途的专业，但是也需要很长时间来证明自己的能力，穷困家庭最好别选这两个专业。10、普通人只想找个工作过日子，天才才想改变世界。所以你要看清自己是什么样的人。",https://zhuanlan.zhihu.com/p/17783045423,,为什么张雪峰什么专业都懂?,我听了张雪峰的十条铁律，觉得他说的挺有道理的: 1、如果你不想将来靠别人养活，就去学医，当兵，当老师,1736589802,1736589802,526,42,张雪峰 专业,de270003b2047395b96cac5baf44c75a,https://www.zhihu.com/people/halang,Halang,https://picx.zhimg.com/50/v2-cc85c081ec0ae3b35a507bb609f35669_l.jpg?source=4e949a73,halang,1.77E+12
1.92E+18,answer,张雪峰就是一个网红，市侩，他的行为，就是在为了一己私利，误人子弟，自己挣得盆满钵满……。看看周围，这才几年，就业环境起起落落不要太大。昨天你还看着公务员因为工资少辞职下海;明天你就羡慕互联网年薪百万。没热几年呢，大企业裁员就开始了.…….公务员又香回来了。18岁的孩子，盲目听信了网红张雪峰的忽悠，拿着现在一两年的政策套自己。去问问在国企当HR的人，哪次招聘的条件一样过？有些单位确实是子弟多，但你怎么保证以后这行就一定是香饽饽?真正好的职业规划，专业指导老师，从来都不会是因为这一两年什么行业热门，去让孩子选什么。大学四年，研究生三年，电动汽车都满街跑了，你还抱着驴子说他皮实。你有没有问过，你家孩子真正喜欢什么？能不能为了这个事业一直努力，坚持，而不是去了一个单位躺平，任由它日薄西山。人生最重要的是什么?是塑造精神，是培养人格，是拥有自驱力！当你发现你周围都是被张雪峰影响的，对世界很功利，只想着混碗饭吃的人的时候，你只会和他们一起躺平，等着行业完蛋，或者疯狂内卷，你会因为缺乏自我规划，而成为别人的工具人。从古至今，很多行业因为人类需求的改变，而消失了或是新生了。但是行业带给人的，是行业所具备的素养和处事观。张雪峰归根到底是个网红，他的思维模式是爆点语言输出，让你觉得耳目一新。你真的要因为一个网红的观点，熄灭自己的喜爱，葬送自己的理想和执着吗?真正的大学，绝不是职业培训所。无论是自然科学，还是社会科学，都有存在的必要。不应该有孰轻孰重的区别。如果仅仅只是为了吃上饭，那为什么不读技校?学理发，去一个学校三个月就可以出师，跟着理发店三年可以自己开店。厨师，只要不是太差，肯干，过五年都能成为大厨……。如果家长们都去盲目听信张雪峰的话，那后果只有一个，就是某些专业，行业的拼命内卷！这个世界的终极规律，是三十年河东，三十年河西，风水轮流转的！到了那个时候，你还去哪里找网红张雪峰？,https://www.zhihu.com/question/1916077111648692041/answer/1916084992678790670,1.92E+18,因为张雪峰的搅局，现在的天坑专业，过十年会不会变成急需人才的冷门专业？,如题,1749610261,1755666396,1338,801,张雪峰 专业,07012736bf6d05033f00d42e53d802da,https://www.zhihu.com/people/bo-hu-dian-chang-e,伯虎点嫦娥,https://picx.zhimg.com/50/v2-4e56b49b84730a5db4bc1cb726f7f739_l.jpg?source=4e949a73,bo-hu-dian-chang-e,1.77E+12
1.96E+18,answer,想起一个段子。景泰蓝修复专业，当年此专业只有一个研究生。导师带到研二就过世了。学生马上成泰斗了。市场会给你答案。如果大多数学生都按照张雪峰的意思去卷了。那么空出来的赛道可能就属于你了。没人卷压力小。补充分割线啊，对对对，冷门专业都找不着工作，都该去张雪峰推荐的行业卷。自己淋雨了赶紧把别人的伞踹掉是吧。但凡学点儿供需关系也不会发这么蠢的评论。张雪峰如果说养猪赚钱，你们都去养猪吧。出栏之后猪肉几乎比土还便宜。lz就tm养羊，没人养我养。就我能提供羊肉，不给你们吃。想不出冷门专业的前途只能说明你自己无知。懂不懂存在即合理。,https://www.zhihu.com/question/1956690584224916824/answer/1958073932339982864,1.96E+18,那些支持张雪峰的，有没有想过有些专业没人报了，以后社会和国家的未来怎么办?,没人卷压力小。 补充分割线 啊，对对对，冷门专业都找不着工作，都该去张雪峰推荐的行业卷。自己淋雨了赶紧把别人的伞踹掉是吧,1759621204,1760137004,705,161,张雪峰 专业,876892393b711f39dc56ae5b91156995,https://www.zhihu.com/people/li-xiang-zhu-52,安东尼,https://picx.zhimg.com/50/v2-c794a5b77be07409134b5e32b24e45be_l.jpg?source=4e949a73,li-xiang-zhu-52,1.77E+12
3303984575,answer,张雪峰的言论只适合个别想捡漏的个人，不适合普及所有人，对社会和国家发展而言，将是巨大的伤害。舆论上，张雪峰已经占领高地，我也不太敢批判他，我仅仅是发表一下我的看法。首先是个人层面1.差大学好专业真的大于好大学差专业吗？        张雪峰说南京信息工程大学的气象专业和北大的气象专业就业是一样的，这个论点本身存在很大的问题，假如两个学生因为这样那样的关系（比如学习成绩差），没有去气象局工作，而是在社会上求职，那么他们的就业还是一样的吗？再比如同样是气象专业，北大学生可以不走气象专业，选择走选调生，将来成为国家干部，南信大可以吗？再比如进入社会以后，北大的毕业生他的校友层次显然要整体上高于南信大，当你需要校友的帮助时，谁会获得更多的帮助？所以，除非你是准备一辈子就干你所学的专业，并且非常确定你这个专业毕业以后一定能够找到对应的工作，并且你的专业一辈子都不会过时，否则肯定好大学差专业&gt;差大学好专业。2.张雪峰的言论适合捡漏的个人，一旦普及所有人，将会出现一堆受害者。        在有信息差的时代，很多人不知道哈工程的船舶专业，个别人低分进去捡了漏，那肯定是赚大发了。如今在张雪峰的宣传下，所有人都知道了哈工程的船舶专业，那么会导致什么情况呢？会导致报这个学校这个专业的人一下子暴涨，分数线也会暴涨，过去550分能去的专业现在620分都不一定进的去，你550分进这个专业，将来毕业年薪15万那肯定是赚的，你620分进这个专业，就不一定划算了。另外万一你620被录取后再被调剂到其他垃圾专业，那就彻底废了。任何好专业都是相对的，低分高收入就叫好专业，高分高收入，那就只是正常，而且为了这个专业放弃上更好名校的机会，那可就是受害者了。3.功利主义追求的都是短期利益，长期利益如何保证。       专业更新换代很快的，比如收音机、随身听、mp3，二十年前都是高级货，当年学这些专业的人那都是高大上的存在，仅仅过了10-20年，这些东西就都被替代了，原来学这些东西的人怎么办？技术的更新换代是无法避免的，计算机专业现在很赚钱，10年到20年后呢，更新换代以后，谁又知道会发生什么？再比如土木专业，谁能想到10年后的如今房地产如此不景气。张雪峰也不可能预言未来哪个专业前景非常好，哪个专业会被淘汰，他只能知道当下哪个专业好，所以盲目听张雪峰的后患无穷。国家层面1.张雪峰的地理位置优势论对于国家均衡发展贻害无穷。        国家为什么要扶植偏远地区的大学？打个比方，假如你是厦门大学的毕业生，除非你是新疆西藏本地的考生，否则你可能会去新疆西藏工作吗？大概率不会，即使是新疆本地的考生，大概率也会留在厦门就业，但是假如你在新疆大学、西藏大学、石河子大学读书，在新疆、西藏本地认可度高，你就有可能留下来建设本地。假如国家不扶植，那么发达地区就会把所有人才全部吸引过去，欠发达地区和发达地区发展差距就会越来越大，最终就会穷者越穷，富者越富，这不利于共同富裕的目标达成。2.不利于国家战略发展       欠发达地区经济没有搞起来，并不是代表这里没有价值。不是所有的价值都是用GDP来衡量的，比如稀土、矿产、粮食、环境和文化。我们国家的发达地区其实都是很贫瘠的，唯一的优势是交通好，所以经济发展的就快。相反欠发达地区通常有很多优质资源正在待开发，但是因为交通环境等各种原因没有开发出来，所以经济水平差，开发资源是需要人才的，如果优质的人才都去了东南沿海，那这些战略资源谁来开发。比如环境，甘肃、新疆等地有大片的沙漠，防沙治沙需要人才，人才从哪里来？让上海的大学生来治沙，先不说愿不愿意，他们也没有这方面的经验。再说稀土、粮食、矿产，这些东西都国家的根基，在东北欠发达地区、西南欠发达地区都有很大的存量，你让上海的大学培养出来的学生去开发，他们还是不愿意。再说文化，历史是文化的根源，我们中国人可能觉得历史无所谓，那是因为我们的历史太长太丰富，随便走到一个地方都可能有一段历史典故，我们已经习惯了这样的生活，其实历史也是我们这个民族和华人凝聚力的根源，尤其是一个稍微大点的国家，没有历史那就没有执政的基础，等你去了一个没有历史的国家你就明白他们是有多疯狂，有的国家没有历史拿神话来凑，有的国家没有历史靠编历史来自我欺骗，具体我指的是哪些国家相信知乎上的网友都知道，就连美国都是强调欧美共同价值观，把欧洲的历史转嫁到自己身上，由此可见研究历史有多么重要，而历史是最需要实地去研究的学科，靠坐在发达地区纸上谈兵那是笑话，所以欠发达地区需要去搞这些研究的大学，比如敦煌、兵马俑、丝路、西南历史等等等。国家扶植这些偏远地区的大学吸引和培养出来的人才是真正国家战略发展的基石，如果大家都只看经济和GDP，国家哪里来的前途和希望。补充一下:我不打算说服谁哈[捂脸][捂脸][捂脸]。我只是表达一下我的意见哈，你看现在多少孩子扎堆报考某双非，某专业，多少人分高还要被调剂的[捂脸][捂脸][捂脸]。我有俩观点不知道大家认同不认同:1.报志愿就和买股票一样，跟风就被割；2.社会资源就那么多，有能力的人他怎么都能蹭上，没能力的人他所谓的信息差也蹭不上，说不定还得被反割，孩子最后的选项还得是考研读博然后就业，你选性价比高、政策扶持多、保研率高的西部名校，你绝对不吃亏。但是他就劝你哪怕降档都要进沿海双非[捂脸][捂脸][捂脸][捂脸]，这种我真不知道怎么说，别后悔就行吧。再补充一点个人的非常主观的一个观点:针对这篇文章，我没有要改变任何人想法的意思，我只是想发表一下我对张雪峰的一点主观看法（你也可以认为我带着偏见）。但是我还是要说:首先能找得起张雪峰填志愿的人，家庭条件不会太差。而普通人报专业都是靠看他的切片视频，然后跟风报志愿，最后是否对自己有利，我持保留意见，成年人要对自己的选择负责。,https://www.zhihu.com/question/613189080/answer/3303984575,613189080,张雪峰今年的影响力让男生全报了电子信息计算机 女生全报了汉语言法律，这些专业不怕过几年饱和吗?,1.差大学好专业真的大于好大学差专业吗？ 张雪峰说南京信息工程大学的气象专业和北大的气象专业就业是一样的,1701055085,1750914510,711,249,张雪峰 专业,7ce1c20f9a90de41c9296f5027139c00,https://www.zhihu.com/people/uri-31-81,知乎用户Wl2AoT,https://picx.zhimg.com/50/v2-abed1a8c04700ba7d72b45195223e0ff_l.jpg?source=4e949a73,uri-31-81,1.77E+12
1.05E+11,answer,张雪峰是我见过的最社会达尔文主义的人，也许也是他见的多了，知道中国社会的残酷性，也深深认可和融入了中国社会的残酷性。所以张雪峰只有在面对600分以上的家长时，才会两眼放光，和家长慢条斯理的探讨一下不同专业的优缺点，才会让直播间的各位印证一下他观点的合理性，才会苦口婆心的劝人不要读新闻学。而600分以下的同学家长来连麦时，张雪峰会变得极其的暴躁。脸拉的老长，专业选的极快，就像把衣服团起来装进行李箱。至于300分的专科生，张雪峰认为，女生专科等于找个好人嫁了。男生专科等于兽医。,https://www.zhihu.com/question/615526822/answer/105023077388,615526822,张雪峰谈专业为啥忽略专科生？,每年有那么多专科生，专科生更需要就业指导啊！而且专科的职业技术类专业也更多啊！想学技术，就应该读专科，总不能像本科纸上谈兵，重论文轻实践！,1739951959,1739952586,2229,519,张雪峰 专业,ed32df416ff89fb96680a138619e4a87,https://www.zhihu.com/people/ymmyd,我们都爱绫濑遥,https://pica.zhimg.com/50/v2-ea47cfb95ddf5fc83d6c845c33161eb6_l.jpg?source=4e949a73,ymmyd,1.77E+12
