comment_id,parent_comment_id,content,publish_time,ip_location,sub_comment_count,like_count,dislike_count,content_id,content_type,user_id,user_link,user_nickname,user_avatar,last_modify_ts
11284886477,0,其实张老师在为全国中产阶级服务，可否给全国农村子弟，城市边缘化人群指个出路，不知道圣父有没有这个能耐，出路只能是考大学？,1757489543,四川,0,0,0,1.90719E+18,article,5471abeec7f5474cc5d3aaaef14c81f0,https://www.zhihu.com/people/38-19-16-82,知乎用户IapNRH,https://picx.zhimg.com/v2-abed1a8c04700ba7d72b45195223e0ff_l.jpg?source=06d4cd63,1.76522E+12
11219925673,0,我大兰大又成了唯一一个被Q的学校[doge]，但我想说我的同学们其实混的普遍还不错，不同于很多人进入大学后的迷茫和放纵，兰大人从入学第一天起就为了相同的目标——润出兰州——而努力奋斗。,1751560402,山东,0,0,0,1.90719E+18,article,d305e0802aed0ad694746a141da83079,https://www.zhihu.com/people/yutiandehuo,物理狗,https://picx.zhimg.com/v2-abed1a8c04700ba7d72b45195223e0ff_l.jpg?source=06d4cd63,1.76522E+12
11240091368,0,我记得是个云南某地女状元进了券商[流泪] 吃饭吃饭贴面拥抱被拍了。。。的确是个美女，家庭条件的确不好，后来不知道怎么样了。,1753400803,广东,12,332,0,1.93186E+18,answer,8bc541488be68d1ba8b7e1536b85360a,https://www.zhihu.com/people/fanny-wang-50,范尼,https://pic1.zhimg.com/26b6551be8095a94e604ebf7dc1f0f2d_l.jpg?source=06d4cd63,1.76522E+12
11239609961,0,怎么说呢，其实那女的也未必相对普通人就没钱了但是这一行的基本上，都有高消费的毛病，造就了的情况就是这些人实际上只要收入没有特别高到某个水平，事实上看起来很有钱很光鲜亮丽的样子只是泡沫撑起来的，一旦没有上升渠道，马上就会“跌入谷底”这也是为什么之前有个所谓的“女强人”，因为被裁还是怎样一下子没了收入，但又无力偿还每个月几万的贷款，结果就跳了[尴尬],1753415810,上海,7,152,2,1.93186E+18,answer,6c80bf98614e537997d6e959afe64bb1,https://www.zhihu.com/people/xue-wu-li-de-yin-li-jun,北冥有南极鲶鱼,https://pic1.zhimg.com/v2-923fa297637634859574210fe0546a82_l.jpg?source=06d4cd63,1.76522E+12
11240335254,0,说句不好听的，我见过很多小厂老板身边哪个没几个小三小四小五的，愿意被拍的人谁也挡不住，真的不愿意的人谁敢用强？这个世界上为了钱做妓女的成千上万，为了钱做鸭子又何止几万？金融圈也是如此，你是啥人，自然有啥命。跟学什么专业有啥关系？,1753424125,浙江,2,148,1,1.93186E+18,answer,d7afba8cbda182370b1a86979d4200b3,https://www.zhihu.com/people/lu-w-82,大地,https://picx.zhimg.com/v2-abed1a8c04700ba7d72b45195223e0ff_l.jpg?source=06d4cd63,1.76522E+12
11240135771,0,但是有个扎心的事实，吃瓜群众一年的工资不够这个女的一年的化妆品+皮肤保养的钱。,1753425398,山东,4,87,1,1.93186E+18,answer,c22097ef1331b5912d5041efaaae7718,https://www.zhihu.com/people/li-hui-73-28-7,RTTTEl,https://pic1.zhimg.com/v2-abed1a8c04700ba7d72b45195223e0ff_l.jpg?source=06d4cd63,1.76522E+12
11240228597,0,大家都是出来卖的，只不过卖的东西不一样罢了,1753435434,浙江,2,82,0,1.93186E+18,answer,e27383dd581d698cf97a80afd3722814,https://www.zhihu.com/people/yi-ge-ma-gua-wei-bo,一个麻瓜微博,https://pic1.zhimg.com/v2-c494da61de536c88764d6a1c205c75d6_l.jpg?source=06d4cd63,1.76522E+12
11239724152,0,北京的985毕业，只是这个出身，在金融圈真不算什么,1753411707,北京,4,71,0,1.93186E+18,answer,3307ab66ae1c689ae6b5f260469c1f31,https://www.zhihu.com/people/72-95-80-60,游戏与AI,https://pica.zhimg.com/v2-33ddf5ab0fda4c78aba5485c580ea424_l.jpg?source=06d4cd63,1.76522E+12
11240817635,0,靠近货币生产地你手随便一搂，就是人家三代人才能赚到的财富所以二代们最喜欢的是金融圈，顶级二代乐园，混什么娱乐圈的，那都是杂牌二代,1753459175,广东,1,49,0,1.93186E+18,answer,25c81c1a2fae475f2286f28a8ffe1de8,https://www.zhihu.com/people/lu-bu-fei,吕不非,https://picx.zhimg.com/v2-abed1a8c04700ba7d72b45195223e0ff_l.jpg?source=06d4cd63,1.76522E+12
11239992809,0,如果随便被打几炮就能财富自由，你看看你排队的能不能排到法国,1753422254,辽宁,2,37,0,1.93186E+18,answer,6badc365da721bfeb9dbf428854fee0c,https://www.zhihu.com/people/liu-heng-34-90,风后,https://picx.zhimg.com/v2-abed1a8c04700ba7d72b45195223e0ff_l.jpg?source=06d4cd63,1.76522E+12
11240874300,0,还有廖蕾饭局门，清华的参加饭局搂搂又抱抱，更震惊的是那个矮个子男的，居然能舔蓝衣服男的奶头[捂脸],1753459011,山东,5,34,0,1.93186E+18,answer,7ee95da71e7d0e4d453cabfa97f59e83,https://www.zhihu.com/people/xiao-wan-zi-29-26,妖妖灵,https://pic1.zhimg.com/v2-277ffb3c9737a0768753b29fe9fb3c4f_l.jpg?source=06d4cd63,1.76522E+12
11327370361,0,建议作者抄底考古，古生物学，天文学，西方哲学，土木工程，作者实在太有远见啦[doge],1761704729,澳大利亚,20,25,0,1.96625E+18,answer,71fd22c4aa5d2fb2a682dc6b5ed2abbc,https://www.zhihu.com/people/ai-xin-jue-luo-gou-sheng-74,爱新觉罗·狗剩,https://picx.zhimg.com/v2-7d6ce938f7a6be8cd89c1f6034f43f24_l.jpg?source=06d4cd63,1.76522E+12
11239543851,0,金融圈的确太赚钱了,1753404819,重庆,0,25,0,1.93186E+18,answer,5830124e8bd48c49fb30eda628a030a0,https://www.zhihu.com/people/hui-ji-22-40-34,虾扯蛋,https://picx.zhimg.com/v2-76da0a1421e6951ae9e61b67b07aad90_l.jpg?source=06d4cd63,1.76522E+12
11326309400,0,如果真的有行业找不到人，待遇也不高的话，那这行业也没必要存在了,1761639173,北京,1,21,0,1.96625E+18,answer,9ddefade15aa6cd02e3d37971cdd7a37,https://www.zhihu.com/people/hoshi-52-9,hoshi,https://pic1.zhimg.com/v2-abed1a8c04700ba7d72b45195223e0ff_l.jpg?source=06d4cd63,1.76522E+12
