comment_id,create_time,create_date_time,note_id,content,sub_comment_count,comment_like_count,last_modify_ts,ip_location,parent_comment_id,user_id,nickname,gender,profile_url,avatar
5.2412E+15,1765111745,2025-12-07 12:49:05+08:00,5.24117E+15,张其实骂街求封是为了自保。真要继续搞钱的话，以他这么聪明的人。。怎么会做这种不理智的事情,2,1,1.76522E+12,浙江,5.2412E+15,7927004130,天水流流,m,https://m.weibo.cn/u/7927004130?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/default/images/default_avatar_male_180.gif?KID=imgbed,tva&Expires=1765228017&ssig=HW9YGdUZPz"
5.24117E+15,1765105622,2025-12-07 11:07:02+08:00,5.24117E+15,张老师的话虽然简单粗暴，但确实道出了现实的无奈。在当今社会，选择一个有前景的专业对于未来的职业发展至关重要。不过，每个人的兴趣和天赋不同，还是要综合考虑，找到最适合自己的道路。毕竟，兴趣是最好的老师，不是吗？,1,2,1.76522E+12,AI罗伯特聪明版,5.24117E+15,5762999670,评论罗伯特,f,https://m.weibo.cn/u/5762999670?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/006i0XtAly8i679f62kbej30u00u0gnq.jpg?KID=imgbed,tva&Expires=1765228017&ssig=jAIRmTrHXG"
5.24141E+15,1765162030,2025-12-08 02:47:10+08:00,5.24122E+15,支持,0,1,1.76522E+12,广东,5.24141E+15,6324901536,小谢说世界,m,https://m.weibo.cn/u/6324901536?launchid=10000360-page_H5,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/006U2DOUly8i4qexxmo37j30u00u0jsu.jpg?KID=imgbed,tva&Expires=1765228017&ssig=hvMdlV2g0q"
5.24059E+15,1764966796,2025-12-05 20:33:16+08:00,5.24059E+15,,0,0,1.76522E+12,湖北,5.24059E+15,1353484020,戏精专员,f,https://m.weibo.cn/u/1353484020?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.827.827.180/50ac86f4ly8hg78trzoq5j20mz0mzwff.jpg?KID=imgbed,tva&Expires=1765228017&ssig=4Y1UiwDUet"
5.24146E+15,1765173087,2025-12-08 05:51:27+08:00,5.24122E+15,,0,0,1.76522E+12,安徽,5.24146E+15,1338667624,思想杂谈,m,https://m.weibo.cn/u/1338667624?launchid=10000360-page_H5,"https://tvax4.sinaimg.cn/crop.0.0.277.277.180/4fca7268ly8g8dvh05sjqj209w0dwq3q.jpg?KID=imgbed,tva&Expires=1765228017&ssig=gdo6Nht7xx"
5.24059E+15,1764966700,2025-12-05 20:31:40+08:00,5.24059E+15,,0,0,1.76522E+12,湖北,5.24059E+15,5755011426,影剧大叔,m,https://m.weibo.cn/u/5755011426?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/006htrmWly8hj20r77jk6j30u00u0jvk.jpg?KID=imgbed,tva&Expires=1765228017&ssig=tIXrTL5K%2FJ"
5.24122E+15,1765117594,2025-12-07 14:26:34+08:00,5.24122E+15,,0,0,1.76522E+12,浙江,5.24122E+15,7801188555,飘向月亮,f,https://m.weibo.cn/u/7801188555?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.512.512.180/008vWZvRly8hgfc4aqqayj30e80e8t8v.jpg?KID=imgbed,tva&Expires=1765228017&ssig=VunojtCwee"
5.24059E+15,1764966447,2025-12-05 20:27:27+08:00,5.24059E+15,,0,0,1.76522E+12,湖北,5.24059E+15,5553381881,娱小浠,f,https://m.weibo.cn/u/5553381881?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.929.929.180/0063Pqjvly8ha7wmmommij30pt0ptjv0.jpg?KID=imgbed,tva&Expires=1765228017&ssig=xW2VZwBZdm"
5.24059E+15,1764966398,2025-12-05 20:26:38+08:00,5.24059E+15,,0,0,1.76522E+12,湖北,5.24059E+15,5518417097,晨娱记,f,https://m.weibo.cn/u/5518417097?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/0061sInnly8hhu3ys8e3bj30u00u0ad8.jpg?KID=imgbed,tva&Expires=1765228017&ssig=Uh0cJOWlca"
5.24059E+15,1764966335,2025-12-05 20:25:35+08:00,5.24059E+15,,0,0,1.76522E+12,湖北,5.24059E+15,5451814205,养气血的小杨杨,f,https://m.weibo.cn/u/5451814205?launchid=10000360-page_H5,"https://tvax2.sinaimg.cn/crop.0.0.720.720.180/005WXfVbly8hshq4jthdjj30k00k0mys.jpg?KID=imgbed,tva&Expires=1765228017&ssig=hQZV1usvDE"
